Longitude,Latitude,Start
71.5616,34.035,1001
72.434,34.017,1006
72.9069,32.4811,1006
72.434,34.017,1008
76.8198,29.9696,1011
76.8198,29.9696,1011
77.7097,28.78,1019
77.7097,28.78,1019
68.9685,22.2442,1026
75.9637,29.0972,1037
76.1866,10.8652,1054
76.0599,16.203,1063
77.0305,12.1947,1116
72.1266,23.8493,1178
76.924,29.7996,1191
76.924,29.7996,1192
78.3958,27.1591,1194
76.924,29.7996,1216
76.3985,29.7857,1240
74.315,31.588,1241
75.2217,19.9461,1294
75.5762,31.326,1298
77.2309,28.6546,1299
78.4673,28.9044,1305
71.866,30.609,1306
75.2217,19.9461,1307
79.5941,17.9689,1309
75.2217,19.9461,1318
79.5941,17.9689,1322
75.2018,19.6086,1326
77.1399,15.7703,1367
77.185,28.52,1398
76.3098,16.16,1398
71.474,30.198,1398
77.7064,28.9845,1399
76.4606,15.3353,1406
78.1256,16.2528,1418
77.9513,21.929,1428
76.4361,16.0087,1443
75.7804,11.2588,1500
75.7804,11.2588,1502
76.2673,9.9312,1506
72.9431,18.5656,1508
70.9977,20.713,1509
73.9154,15.5028,1510
73.9154,15.5028,1510
79.274,14.8654,1513
80.2652,16.2568,1515
77.3495,16.1996,1520
76.9635,29.3909,1526
77.5462,27.0452,1527
95.98,21.855,1527
84.6758,25.7554,1529
74.6447,24.887,1534
73.5314,22.4845,1535
85.4711,23.8012,1535
70.925,20.7216,1538
83.8909,25.509,1539
96.467,17.319,1539
79.9137,27.0514,1540
70.925,20.7216,1546
100.562,14.36,1548
96.482,17.357,1551
95.239,18.815,1552
76.3811,30.616,1555
95.98,21.855,1555
77.2309,28.6546,1556
76.9635,29.3909,1556
75.3121,18.738,1560
76.1929,30.9141,1560
80.2652,16.2568,1563
76.3109,16.4783,1565
74.6447,24.887,1567
100.562,14.36,1568
72.5714,23.0225,1572
73.2856,22.7875,1572
87.2813,21.8829,1575
73.6958,24.9012,1576
87.8309,25.0543,1576
72.057,34.197,1586
79.843,6.936,1587
79.917,8.976,1591
80.541,7.281,1594
75.168,18.8044,1596
74.7557,19.0964,1596
96.49,17.335,1599
74.7557,19.0964,1600
76.2938,21.4711,1600
73.9154,15.5028,1604
87.6551,23.2156,1612
72.6893,21.0591,1612
96.248,16.758,1613
75.7195,19.7967,1616
80.0392,9.6708,1619
75.4715,31.6899,1621
77.3387,29.0055,1623
74.8942,19.0527,1624
79.7179,25.4982,1624
81.051,6.988,1630
77.6708,24.0993,1631
80.4847,25.0002,1631
88.3919,22.8855,1632
75.2217,19.9461,1633
74.8723,31.634,1634
75.4956,31.4364,1635
80.602,7.28,1638
79.4113,12.2524,1648
79.843,6.936,1655
82.7407,25.641,1658
75.6386,22.9989,1658
78.2045,27.1858,1658
88.1411,25.0108,1659
81.9453,25.8973,1659
82.8506,25.4975,1659
80.91,26.8517,1659
73.8626,18.7571,1660
74.1078,16.8113,1660
73.8567,18.5204,1663
72.8311,21.1702,1664
73.9833,18.2833,1665
73.8311,20.2039,1670
73.7559,18.3663,1670
72.8311,21.1702,1670
73.9428,20.7247,1671
75.2392,16.9027,1673
74.1078,16.8113,1673
74.329,16.0598,1674
74.0124,15.3991,1675
75.9555,17.1752,1676
79.768,11.7447,1677
76.1487,15.3404,1677
79.128,12.9215,1677
74.208,19.5771,1679
75.7197,16.8268,1679
74.8761,17.2346,1679
78.7378,23.8388,1680
73.1305,19.2403,1682
75.7197,16.8268,1685
78.4011,17.3833,1687
77.7401,30.496,1688
79.4113,12.2524,1689
73.4464,18.2347,1689
74.0183,17.6805,1690
76.3445,31.7785,1691
79.7036,12.8342,1692
76.3976,14.2255,1695
79.7036,12.8342,1696
77.2401,13.1571,1696
76.1392,32.0017,1696
74.0183,17.6805,1699
76.5055,31.2344,1700
76.5055,31.2344,1701
73.7434,16.9099,1701
74.1078,16.8113,1701
75.8108,32.5038,1702
76.5055,31.2344,1702
73.4464,18.2347,1703
76.4129,30.8927,1704
76.4129,30.8927,1704
76.5055,31.2344,1704
76.5055,31.2344,1704
73.6234,18.2768,1704
76.5055,31.2344,1704
74.5112,30.4766,1705
76.6932,16.512,1705
73.5031,21.8715,1706
77.941,26.9432,1707
73.3968,17.7196,1707
78.4867,17.385,1709
76.1958,30.1554,1709
76.1175,31.0521,1710
77.301201,30.2998,1710
76.3811,30.616,1710
74.857,32.7266,1712
72.34,31.521,1712
78.0081,27.1767,1713
75.3493,31.999,1715
76.7914,20.6882,1720
77.3117,28.6331,1720
77.636,21.3446,1720
76.3996,20.2023,1724
75.1208,22.5598,1728
74.9029,19.9066,1728
79.5769,25.2869,1729
73.4121,22.1323,1731
77.2309,28.6546,1737
72.8137,19.3314,1737
77.4126,23.2599,1737
71.258,34.034,1738
72.9781,19.2183,1738
76.9905,29.6857,1739
79.044,13.4815,1740
88.0826,24.5153,1740
78.7047,10.7905,1740
75.2217,19.9461,1741
88.134,23.6391,1742
78.7047,10.7905,1743
88.134,23.6391,1745
80.2778,13.0337,1746
80.2707,13.0827,1746
79.7801,11.7387,1746
79.862,11.2555,1746
87.8615,23.2324,1747
75.4684,25.8958,1747
76.2691,30.7602,1748
79.768,11.7447,1748
79.8145,11.9139,1748
78.7166,12.7904,1749
79.8132,11.3584,1749
79.5941,27.3826,1750
78.6498,27.8129,1750
79.768,11.7447,1750
79.768,11.7447,1750
79.4113,12.2524,1750
79.2818,12.6713,1751
79.5941,27.3826,1751
74.2271,18.8381,1751
79.0814,27.8123,1751
78.7203,10.8722,1751
79.3192,12.9044,1751
79.7036,12.8342,1751
78.7047,10.7905,1751
79.7483,11.8087,1752
79.4113,12.2524,1752
79.462,12.9055,1752
79.9833,12.684,1752
80.2504,12.7869,1752
78.6968,10.8561,1752
95.98,21.855,1752
78.7047,10.7905,1753
78.7047,10.7905,1753
78.7047,10.7905,1753
79.768,11.7447,1753
73.0844,17.816,1755
73.333,16.5612,1756
88.3359,22.5542,1756
75.3356,14.9725,1756
74.8994,31.5197,1757
88.2875,23.7806,1757
76.126,19.9525,1757
96.49,17.335,1757
88.3639,22.5726,1757
88.3639,22.5726,1757
88.3633,22.8648,1757
78.7047,10.7905,1757
77.2309,28.6546,1757
81.804,17.0005,1758
66.843,29.795,1758
80.2877,13.0788,1758
79.7801,11.7387,1758
79.1378,10.787,1758
79.789,11.7419,1758
79.8535,10.7667,1758
88.3919,22.8859,1759
73.576,32.965,1759
81.1362,16.1905,1759
85.1376,25.5941,1759
79.8358,11.915,1759
77.2028,28.7882,1760
85.2146,25.6858,1760
77.078,29.7168,1760
85.7994,26.1996,1760
85.5177,25.1912,1760
77.6966,28.4528,1760
77.1126,18.3943,1760
79.6025,12.5029,1760
79.838,10.9254,1760
79.8145,11.9139,1760
76.9635,29.3909,1761
85.4214,25.0731,1761
76.5113,25.3363,1761
74.185,32.158,1761
74.542,32.494,1761
74.3349,18.6196,1762
75.874,30.6137,1762
74.6425,16.8165,1762
88.0244,24.6186,1763
88.134,23.6391,1763
73.4681,20.4819,1763
74.53,32.491,1763
85.1376,25.5941,1763
87.8309,25.0542,1763
85.1376,25.5941,1763
83.9777,25.5647,1764
85.1376,25.5941,1764
80.3728,26.1132,1765
78.7958,12.3068,1767
79.0747,12.2253,1767
78.6219,12.695,1767
78.7166,12.7904,1767
74.0285,20.3826,1768
78.3941,13.1667,1768
76.6001,12.5401,1771
79.6755,28.0353,1774
75.3296,17.6175,1774
72.9781,19.2183,1774
73.0313,22.4828,1775
73.0313,22.4828,1775
79.1674,21.0218,1775
75.3004,15.2045,1777
79.8145,11.9139,1778
73.6389,18.7381,1779
73.244,18.9605,1780
73.1541,19.2249,1780
79.817,13.0404,1780
79.3192,12.9044,1780
78.1692,26.2313,1780
72.5811,23.024,1780
73.1305,19.2403,1780
72.7323,19.4659,1780
72.8137,19.3314,1780
73.1748,19.1117,1780
79.2874,23.7672,1781
79.7021,12.9477,1781
79.7568,11.5084,1781
79.431,13.1116,1781
73.3656,18.7719,1781
79.8535,10.7667,1781
79.2818,12.6713,1782
79.388113,10.9617,1782
74.4013,14.5039,1782
76.1233,11.1611,1782
79.768,11.7447,1782
79.8535,10.7667,1782
80.1605,12.4808,1782
75.0315,13.8217,1783
79.768,11.7447,1783
74.856,12.9141,1783
73.263,16.9925,1783
79.768,11.7447,1783
76.1516,26.7329,1787
78.0211,27.1795,1787
78.0081,27.1767,1788
77.6395,27.1847,1788
76.3337,10.308,1789
75.7804,11.2588,1790
74.0309,26.645,1790
77.2391,11.505,1790
79.0737,11.7439,1790
76.1487,15.3404,1790
75.9801,27.8051,1790
75.568101,13.9299,1791
76.8159,12.4128,1791
77.5946,12.9716,1791
73.0844,17.816,1791
77.6807,13.3683,1791
78.5861,13.7768,1791
76.6931,12.4216,1792
74.6399,26.4499,1793
75.4767,18.6366,1795
83.918,24.623,1795
79.843,6.936,1796
74.8723,31.634,1797
74.073,32.57,1797
74.8723,31.634,1798
74.9617,27.9951,1799
77.0536,12.3853,1799
75.8756,12.2977,1799
76.6931,12.4216,1799
78.0211,27.1795,1799
75.3697,26.3006,1800
75.7849,23.1793,1801
75.8577,22.7196,1801
76.5575,28.6418,1801
75.9637,29.0972,1801
76.5575,28.6418,1801
76.5575,28.6418,1801
73.8567,18.5204,1802
74.7496,19.0952,1803
76.9428,21.1226,1803
75.8869,20.2375,1803
77.2309,28.6546,1803
76.9844,27.5576,1803
78.0081,27.1767,1803
77.3357,21.3827,1803
78.0631,27.9306,1803
80.638,7.294,1803
80.082,6.91,1803
78.0081,27.1767,1803
77.329,27.4708,1804
79.5941,27.3826,1804
75.8648,25.2138,1804
77.2309,28.6546,1804
77.329,27.4708,1804
77.495,27.2206,1805
79.1325,12.9165,1806
72.313,33.927,1813
76.998,31.2295,1814
77.3309,30.5932,1814
78.0853,30.3402,1814
76.7048,31.0446,1814
79.6467,29.5892,1815
83.459,27.703,1815
84.906,27.096,1815
80.634,7.292,1815
80.091,29.3361,1815
77.1414,30.9212,1815
85.143,27.424,1816
73.8506,18.5699,1817
75.6545,23.4857,1817
79.0882,21.1458,1817
79.0882,21.1458,1817
79.0851,21.1513,1817
75.168,18.8044,1818
74.0556,18.6477,1818
75.4417,24.4659,1818
79.5435,22.0869,1818
80.634,7.292,1818
75.9064,17.6599,1818
74.9503,21.2531,1818
79.3015,19.9705,1818
71.474,30.198,1818
74.51,20.5547,1818
74.836,33.717,1819
76.2938,21.4711,1819
71.975,34.017,1823
96.197,16.781,1824
97.604,16.535,1824
96.2,16.87,1824
94.735,16.778,1825
95.411,19.024,1825
77.495,27.2206,1825
95.584,17.258,1825
95.258,18.84,1825
95.706,17.98,1826
94.859,21.172,1826
97,17.214,1826
71.57,34.013,1834
71.378,34.004,1837
71.264,34.021,1839
66.588,29.03,1839
68.902,29.3,1840
71.264,34.021,1842
78.0797,26.2017,1843
78.0286,26.0981,1843
73.072,32.528,1843
68.626,25.927,1843
78.487,17.384,1843
74.8829,30.7766,1845
74.7882,30.8777,1845
75.6131,30.9452,1846
75.7448,30.8609,1846
74.8522,31.1804,1846
75.2303,30.9381,1846
71.305,29.88,1848
73.78,32.327,1848
73.869,32.421,1848
71.482,30.193,1848
71.474,30.199,1848
73.604,32.658,1849
74.075,32.571,1849
95.233,18.817,1852
97.603,16.535,1852
94.738,16.776,1852
96.466,17.323,1852
96.466,17.323,1852
96.196,16.869,1852
95.585,17.257,1853
80.3319,26.4499,1857
78.6498,27.8129,1857
80.81,25.9201,1857
78.088,27.8974,1857
80.5691,26.1538,1857
77.1442,28.7326,1857
80.2698,26.6057,1857
77.8498,28.407,1857
80.3319,26.4499,1857
79.3015,19.9705,1857
84.8727,24.2064,1857
81.0405,26.877,1857
79.2337,27.3187,1857
84.4225,25.4683,1857
80.5203,26.0556,1857
79.0263,27.2278,1857
83.1094,26.1744,1857
80.4361,26.5097,1857
77.7064,28.9845,1857
76.9912,28.606,1857
73.3234,25.7711,1857
80.3319,26.4499,1857
78.9999,27.6877,1857
75.6545,23.4857,1857
77.974,27.1754,1857
84.0683,26.2522,1857
75.2855,32.1408,1857
75.2849,32.1416,1857
78.0081,27.1767,1857
77.4538,28.6692,1857
78.6498,27.8129,1857
80.9524,26.8556,1857
80.9202,26.8409,1857
80.9202,26.8409,1857
80.9202,26.8409,1857
74.9033,24.3009,1857
80.4878,26.5393,1857
76.1015,28.0658,1857
80.3319,26.4499,1857
80.9077,26.8166,1857
77.2309,28.6546,1857
75.3028,22.6018,1857
75.0271,24.1271,1857
74.8624,24.4764,1857
84.6603,25.556,1857
80.3319,26.4499,1857
80.9462,26.8467,1857
78.6952,24.2511,1858
79.169,27.4922,1858
80.338,25.4796,1858
82.394,26.7635,1858
82.394,26.7635,1858
82.394,26.7635,1858
83.1859,26.0737,1858
82.0712,26.2651,1858
81.5667,27.9387,1858
78.6425,23.95,1858
78.7237,25.4526,1858
77.298,24.6348,1858
82.7738,25.4598,1858
81.5463,27.9603,1858
79.3015,19.9705,1858
82.7522,25.4735,1858
80.6542,26.1661,1858
80.6542,26.1661,1858
83.3732,26.7606,1858
82.4703,26.7927,1858
84.4225,25.4683,1858
84.4225,25.4683,1858
82.6987,25.749,1858
78.0998,26.2299,1858
80.8922,27.0712,1858
73.8894,25.0558,1858
78.1845,26.1607,1858
79.1605,26.0048,1858
84.1723,25.9923,1858
78.2231,26.2237,1858
78.4327,29.4426,1858
78.198,29.6642,1858
81.202,26.9317,1858
76.7278,24.0079,1858
77.8739,25.0713,1858
75.7744,26.8221,1858
78.1237,27.0168,1858
79.4304,28.367,1858
79.7484,26.121,1858
81.513,28.0282,1858
79.6221,27.3673,1858
79.1436,23.7795,1858
78.1692,26.2313,1858
78.1692,26.2313,1858
80.8658,26.8764,1858
78.1399,24.7105,1858
75.8648,25.2138,1858
78.3984,23.7905,1858
80.2132,27.9547,1858
80.157,27.1299,1858
75.0693,24.0768,1858
78.7378,23.8388,1858
78.5758,25.4579,1858
80.9462,26.8467,1858
76.3375,26.8932,1859
75.1399,27.6094,1859
72.49,34.399,1863
91.467,26.867,1865
71.264,34.021,1878
95.707,17.979,1885
97.238,24.263,1885
71.931,34.564,1895
72.43,36.282,1895
72.029,34.656,1895
71.792,35.855,1895
71.909,34.515,1897
71.146,34.091,1897
71.579,34.188,1897
71.93,34.564,1897
70.101,32.371,1919
70.548,33.367,1919
74.872,31.634,1919
70.926,33.816,1920
70.022,32.513,1920
70.211,32.318,1920
92.465,20.859,1942
97.24,17.333,1942
98.24,16.558,1942
97.587,16.889,1942
97.658,16.44,1942
95.303,18.44,1942
94.35,23.15,1942
96.876,17.451,1942
94.878,20.459,1942
97.752,22.967,1942
96.435,18.941,1942
96.466,17.323,1942
79.855,6.948,1942
81.238,8.552,1942
79.851,6.939,1942
92.45,20.932,1943
92.875,20.137,1944
96.637,26.122,1944
96.182,24.467,1944
93.943,24.806,1944
94.105,25.659,1944
97.238,24.263,1944
96.937,25.305,1944
97.383,25.395,1944
95.86,20.877,1945
96.089,21.96,1945
74.062,34.053,1947
74.747,34.113,1947
74.034,34.088,1947
74.092,33.767,1947
75.471,34.279,1948
77.577,34.153,1948
75.645,34.29,1948
91.876,27.578,1962
92.106,27.507,1962
92.416,27.265,1962
74.72,32.38,1965
74.606,31.184,1965
74.396,32.884,1965
74.07,33.964,1965
74.725,32.384,1965
74.687,32.338,1965
70.157,27.525,1971
79.638,28.28,1971
74.396,32.884,1971
90.411,23.811,1971
89.183,23.033,1971
90.411,23.811,1971
67.008,24.858,1971
75.794,34.47,1999
